ds,y,persistence0,pers_id_50,GB_best_id_66,GB_best_id_65
2020-04-01 00:00:00,24.01,24.1325,24.39912215829437,24.420596849343273,23.53758647496666
2020-04-01 01:00:00,21.75,22.465,21.587942924324075,23.09589562207832,20.74889569642831
2020-04-01 02:00:00,20.0825,19.745,20.651321408464266,21.284184563251387,20.17442465987322
2020-04-01 03:00:00,19.565,19.83,20.43642724873278,19.11215521260115,19.557242501285142
2020-04-01 04:00:00,19.265,19.445,20.53928529380295,17.828238728451065,18.031934848400027
2020-04-01 05:00:00,19.6725,19.9525,22.502678320196924,18.804241389468146,17.930022094534575
2020-04-01 06:00:00,21.9275,24.0175,25.199827371618085,22.331864983816814,18.29290436175727
2020-04-01 07:00:00,25.875,28.7925,27.803608801837754,27.157784999784926,20.292330920308988
2020-04-01 08:00:00,27.3975,31.4625,29.976914493960024,30.667967712514237,23.586770670447827
2020-04-01 09:00:00,27.345,28.87,27.864937080287145,29.994058480314823,23.775668742688943
2020-04-01 10:00:00,24.6175,25.2975,24.54413964154181,26.20661270075035,21.57780763032866
2020-04-01 11:00:00,21.5575,22.88750000000001,21.9376314028482,21.61361234613657,20.67806256284925
2020-04-01 12:00:00,19.9075,19.7975,20.45987406607052,18.057491225085226,20.110598896156628
2020-04-01 13:00:00,18.5775,19.535,20.195866318313943,15.390041911264046,20.487223251112393
2020-04-01 14:00:00,18.05,17.98,20.44449092947155,13.494504606742375,20.616552448728118
2020-04-01 15:00:00,17.497500000000002,17.525,20.72083539724895,12.87268918316166,21.406417013085882
2020-04-01 16:00:00,18.345,17.665,22.70394358408124,14.377004103173736,22.625206751711406
2020-04-01 17:00:00,19.835,18.1925,23.30875575091217,19.061060982511552,23.98368235145605
2020-04-01 18:00:00,22.825,20.4275,24.510354323799923,26.24553612703897,25.745716601562027
2020-04-01 19:00:00,26.4675,25.78,26.45695202839645,33.12672268380368,28.80544280835438
2020-04-01 20:00:00,30.4675,30.735,31.15534547966281,36.746389089223314,30.991342513031537
2020-04-01 21:00:00,31.0025,29.675,31.13805382166232,35.91354739376147,28.850503176239307
2020-04-01 22:00:00,28.7825,26.2875,29.621763382463985,33.044365791605465,26.327805156973948
2020-04-01 23:00:00,27.82,25.9825,28.369441641198698,30.271265449736728,25.926403346342216
2020-04-02 00:00:00,25.807500000000005,23.640000000000004,25.644069789894004,27.747409122226024,24.703070756902548
2020-04-02 01:00:00,23.8675,21.75,24.16782664849079,26.07596258075639,23.45401369882145
2020-04-02 02:00:00,22.6475,20.0825,22.212754310902085,24.059282069283253,20.76124211587991
2020-04-02 03:00:00,21.590000000000003,19.565,21.557418382007164,21.68904485958601,19.2937440205484
2020-04-02 04:00:00,20.92,19.265,21.419080236124827,20.138993762259872,18.2918383913401
2020-04-02 05:00:00,21.2375,19.6725,22.553680575554658,20.799893908571104,18.78049337590693
2020-04-02 06:00:00,23.24,21.9275,24.61557089252479,23.777207551965517,20.01626348515133
2020-04-02 07:00:00,25.81,25.875,25.90303224040337,27.849327145038856,22.83037637443422
2020-04-02 08:00:00,27.4325,27.3975,27.952849933992553,30.776287984164856,25.24622815724619
2020-04-02 09:00:00,27.1,27.345,27.987874282003737,30.30455522229746,26.274202160003266
2020-04-02 10:00:00,24.0875,24.6175,26.080087667030696,27.309629101481825,25.691798912855372
2020-04-02 11:00:00,21.137500000000006,21.5575,24.60449736978799,23.665666257749496,24.407675159409827
2020-04-02 12:00:00,20.375,19.9075,22.12596952783116,21.152457894739804,22.174785145317294
2020-04-02 13:00:00,19.5625,18.5775,20.10551355548748,19.729933284454425,20.82745490550563
2020-04-02 14:00:00,18.0375,18.05,19.82337401877579,18.445724154184326,20.75253220561922
2020-04-02 15:00:00,17.2825,17.497500000000002,20.96048091619648,17.283293715121275,20.963888018585777
2020-04-02 16:00:00,16.945,18.345,23.05568759791427,17.534688247537197,22.37396803541771
2020-04-02 17:00:00,17.0425,19.835,24.85516363393571,20.45188403146738,23.218195367648875
2020-04-02 18:00:00,18.5775,22.825,26.09845247463928,24.44550052114689,24.573699827993504
2020-04-02 19:00:00,23.4875,26.4675,29.433876571462324,28.39930627477109,26.54522719796382
2020-04-02 20:00:00,26.19,30.4675,31.557983418824698,30.042934764045388,29.91043057131973
2020-04-02 21:00:00,26.5925,31.0025,29.769784486576878,29.24812989744373,28.881673908122135
2020-04-02 22:00:00,24.6025,28.7825,27.150801019183717,26.184268755567718,26.913280491919757
2020-04-02 23:00:00,25.65,27.82,27.449012486989087,24.09521752625639,26.29882635217352
2020-04-03 00:00:00,26.185,25.807500000000005,24.530604199200248,20.47585691725281,23.598277780375692
2020-04-03 01:00:00,21.1875,23.8675,25.42273800779872,19.18428191636297,25.232061771245636
2020-04-03 02:00:00,18.735,22.6475,20.227217156364862,17.146182679298892,20.05806583271925
2020-04-03 03:00:00,18.16,21.590000000000003,19.858190963776764,15.4355389301341,19.488582179186306
2020-04-03 04:00:00,18.26,20.92,19.892234012379287,14.036896116492358,18.323618756205658
2020-04-03 05:00:00,18.465,21.2375,21.226295533572426,15.009917476054149,18.52363926528367
2020-04-03 06:00:00,19.7775,23.24,22.616030167199426,18.816350329228307,20.148089398678447
2020-04-03 07:00:00,24.345,25.81,24.118850741964945,24.27378415331081,22.841746097684982
2020-04-03 08:00:00,26.187500000000004,27.4325,26.11273132808493,28.251204428551922,25.137065551916496
2020-04-03 09:00:00,26.2125,27.1,27.89468737653215,28.748775963727425,25.696089905904604
2020-04-03 10:00:00,24.8825,24.0875,26.28685159646289,26.906818589504113,23.933813449359917
