ds,y,pers_id_6,GB_best_id_110,P_best_1,GB_id_100
2020-04-01 00:00:00,5295.726561999778,5139.017577999945,5438.548849723557,5553.77542381115,5438.5488497235565
2020-04-01 00:15:00,5523.335938000222,4916.642577999945,4932.493147366854,5424.750291643441,4932.493147366853
2020-04-01 00:30:00,5295.125,5132.78125,5438.548849723557,5317.2290146142295,5438.5488497235565
2020-04-01 00:45:00,5471.3125,5263.0625,4785.315715515938,5225.183100169206,4785.315715515936
2020-04-01 01:00:00,5335.59375,5202.28125,4785.315715515938,5142.479327150322,4785.315715515936
2020-04-01 01:15:00,5427.59375,5166.28125,4785.315715515938,5063.396737079079,4785.315715515936
2020-04-01 01:30:00,5475.78125,5445.96875,4785.315715515938,4983.134805648368,4785.315715515936
2020-04-01 01:45:00,5260.25,4985.367188000222,4744.884559994282,4898.276222031972,4744.88455999428
2020-04-01 02:00:00,5592.4375,5080.203125,4744.884559994282,4807.1697051198635,4744.88455999428
2020-04-01 02:15:00,4944.640625,5007.972655999889,4744.884559994282,4710.202727159141,4744.88455999428
2020-04-01 02:30:00,5586.9375,4957.8691410001675,4572.356953321826,4609.940641077119,4572.356953321824
2020-04-01 02:45:00,4876.003905999889,4543.158202999945,4564.262690290287,4511.117100398739,4564.262690290284
2020-04-01 03:00:00,5625.957030999889,5180.806639999722,4785.315715515938,4420.470289350931,4785.315715515936
2020-04-01 03:15:00,4889.130860000278,4928.179688000222,4744.884559994282,4346.429706261502,4744.88455999428
2020-04-01 03:30:00,5677.957030999889,4935.939452999945,4744.884559994282,4298.66839344294,4744.88455999428
2020-04-01 03:45:00,4862.933594000111,5014.0,4744.884559994282,4287.5448917523545,4744.88455999428
2020-04-01 04:00:00,5612.154297000056,5062.976563000222,4744.884559994282,4323.467181840735,4744.88455999428
2020-04-01 04:15:00,5008.886717999667,5018.0,4744.884559994282,4416.216894748261,4744.88455999428
2020-04-01 04:30:00,5441.09375,4909.023436999778,4744.884559994282,4574.275706776536,4744.88455999428
2020-04-01 04:45:00,5120.923827999945,5070.0,4744.884559994282,4804.196795972326,4744.88455999428
2020-04-01 05:00:00,5376.060547000056,5005.023438000222,4744.884559994282,5110.062427998114,4744.88455999428
2020-04-01 05:15:00,5111.083985000278,4994.0,4755.358013914185,5493.064240436252,4755.358013914182
2020-04-01 05:30:00,5392.792967999667,5041.023436999778,4755.358013914185,5951.235856330048,4755.358013914182
2020-04-01 05:45:00,5371.148438000222,5021.023438000222,4726.0481172178115,6479.358515602822,4726.048117217808
2020-04-01 06:00:00,5275.017577999945,5013.023436999778,4726.0481172178115,7069.05000952582,4726.048117217808
2020-04-01 06:15:00,8575.017577999944,4984.779297000056,6711.726129732083,7709.036002587045,6711.726129732081
2020-04-01 06:30:00,11452.820313000222,10292.197266000168,10054.968764465824,8385.591552873877,10054.968764465822
2020-04-01 06:45:00,12611.167967999669,11745.21875,9770.744097647545,9083.12999631647,9770.744097647541
2020-04-01 07:00:00,12499.017579000389,11817.835936999778,10737.16895461823,9784.907058802355,10737.168954618226
2020-04-01 07:15:00,12881.947264999722,11712.375,10737.16895461823,10473.800689954853,10737.168954618226
2020-04-01 07:30:00,12213.953125,11562.28125,9770.744097647545,11133.122159809322,9770.744097647541
2020-04-01 07:45:00,12600.0,11690.90625,9770.744097647545,11747.411749382763,9770.744097647541
2020-04-01 08:00:00,12118.71875,11693.59375,11037.720906254182,12303.173063961309,11037.72090625418
2020-04-01 08:15:00,13186.71875,11749.8125,12151.01732163183,12789.503537226614,12151.017321631833
2020-04-01 08:30:00,12240.625,12590.25,14866.998351795175,13198.584883238527,14866.998351795177
2020-04-01 08:45:00,13716.4375,12899.0,12792.037191608779,13526.005687011157,12792.037191608779
2020-04-01 09:00:00,13262.78125,13491.125,13214.838716170812,13770.898458977092,13214.838716170812
2020-04-01 09:15:00,14331.9375,13068.53125,13580.086593715425,13935.884682210744,13580.086593715425
2020-04-01 09:30:00,13578.125,12911.625,13619.48276025683,14026.832933463076,13619.482760256831
2020-04-01 09:45:00,14036.53125,12930.9375,13619.48276025683,14052.44631967152,13619.482760256831
2020-04-01 10:00:00,14424.53125,12657.78125,13619.48276025683,14023.70554865223,13619.482760256831
2020-04-01 10:15:00,14426.0625,12868.3125,13619.48276025683,13953.202300478048,13619.482760256831
2020-04-01 10:30:00,14317.71875,12945.09375,12831.433358150183,13854.403674970357,12831.433358150185
2020-04-01 10:45:00,13997.28125,13803.65625,14046.229276710259,13740.891989489397,14046.22927671026
2020-04-01 11:00:00,14461.625,12818.53125,12835.37835004158,13625.624890919695,12835.378350041581
2020-04-01 11:15:00,14818.375,12889.09375,13623.427752148225,13520.25861625223,13623.427752148227
2020-04-01 11:30:00,14900.125,12651.28125,13623.427752148225,13434.572454718826,13623.427752148227
2020-04-01 11:45:00,15166.40625,12973.1875,12835.37835004158,13376.025370399027,12835.378350041581
2020-04-01 12:00:00,16118.9375,12930.25,13148.996576025613,13349.466829873943,13148.996576025615
2020-04-01 12:15:00,15677.125,12948.46875,13623.427752148225,13357.013743428664,13623.427752148227
2020-04-01 12:30:00,15462.375,12870.78125,12835.37835004158,13398.094744057078,12835.378350041581
2020-04-01 12:45:00,15484.375,12479.5625,12835.37835004158,13469.65250374126,12835.378350041581
2020-04-01 13:00:00,15755.84375,12648.78125,12835.37835004158,13566.485098215826,12835.378350041581
2020-04-01 13:15:00,16374.0625,12519.71875,13623.427752148225,13681.699204175366,13623.427752148227
2020-04-01 13:30:00,16534.375,12923.96875,12835.37835004158,13807.24165711986,12835.378350041581
